0:0:0:0:0:0:0:1 - - [29/May/2020:10:33:58 -0400] "GET /adap_compound_db_war/resources/tagify-master/tagify.css HTTP/1.1" 200 7428
0:0:0:0:0:0:0:1 - - [29/May/2020:10:33:58 -0400] "GET /adap_compound_db_war/resources/jQuery-3.2.1/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [29/May/2020:10:33:58 -0400] "GET /adap_compound_db_war/resources/DataTables-1.10.16/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [29/May/2020:10:33:58 -0400] "GET /adap_compound_db_war/resources/Select-1.2.5/js/dataTables.select.min.js HTTP/1.1" 200 11708
0:0:0:0:0:0:0:1 - - [29/May/2020:10:33:58 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/js/tabs.js HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [29/May/2020:10:33:58 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [29/May/2020:10:33:58 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/img/molecule.jpg HTTP/1.1" 200 27271
0:0:0:0:0:0:0:1 - - [29/May/2020:10:33:58 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/img/two_spectra.png HTTP/1.1" 200 27241
0:0:0:0:0:0:0:1 - - [29/May/2020:10:33:58 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/main_mobile_portrait.css HTTP/1.1" 200 10820
0:0:0:0:0:0:0:1 - - [29/May/2020:10:33:59 -0400] "GET /adap_compound_db_war/resources/static/favicon-32x32.png HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [29/May/2020:10:34:02 -0400] "GET /adap_compound_db_war/login/ HTTP/1.1" 200 6565
0:0:0:0:0:0:0:1 - - [29/May/2020:10:34:03 -0400] "GET /adap_compound_db_war/signup HTTP/1.1" 200 7479
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:33 -0400] "GET /adap_compound_db_war/ HTTP/1.1" 200 9378
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:33 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/main.css HTTP/1.1" 200 11067
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:33 -0400] "GET /adap_compound_db_war/resources/DataTables-1.10.16/css/jquery.dataTables.min.css HTTP/1.1" 200 13900
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:33 -0400] "GET /adap_compound_db_war/resources/datatables.min.css HTTP/1.1" 200 18273
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:33 -0400] "GET /adap_compound_db_war/resources/Select-1.2.5/css/select.dataTables.min.css HTTP/1.1" 200 3918
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:33 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.min.css HTTP/1.1" 200 32076
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:33 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.theme.min.css HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:33 -0400] "GET /adap_compound_db_war/resources/tag-it-6ccd2de/css/jquery.tagit.css HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:33 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.structure.min.css HTTP/1.1" 200 15548
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:33 -0400] "GET /adap_compound_db_war/resources/tag-it-6ccd2de/css/tagit.ui-zendesk.css HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:33 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/tables.css HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:34 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/classes.css HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:34 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/plots.css HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:34 -0400] "GET /adap_compound_db_war/resources/tagify-master/tagify.css HTTP/1.1" 200 7428
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:34 -0400] "GET /adap_compound_db_war/resources/jQuery-3.2.1/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:34 -0400] "GET /adap_compound_db_war/resources/DataTables-1.10.16/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:34 -0400] "GET /adap_compound_db_war/resources/Select-1.2.5/js/dataTables.select.min.js HTTP/1.1" 200 11708
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:34 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/js/tabs.js HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:34 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:34 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/img/molecule.jpg HTTP/1.1" 200 27271
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:34 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/img/two_spectra.png HTTP/1.1" 200 27241
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:34 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/main_mobile_portrait.css HTTP/1.1" 200 10820
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:34 -0400] "GET /adap_compound_db_war/resources/static/favicon-32x32.png HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:35 -0400] "GET /adap_compound_db_war/login/ HTTP/1.1" 200 6565
0:0:0:0:0:0:0:1 - - [29/May/2020:10:35:35 -0400] "GET /adap_compound_db_war/signup HTTP/1.1" 200 7479
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/ HTTP/1.1" 200 9378
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/datatables.min.css HTTP/1.1" 200 18273
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/main.css HTTP/1.1" 200 11067
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/DataTables-1.10.16/css/jquery.dataTables.min.css HTTP/1.1" 200 13900
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/Select-1.2.5/css/select.dataTables.min.css HTTP/1.1" 200 3918
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.min.css HTTP/1.1" 200 32076
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.theme.min.css HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.structure.min.css HTTP/1.1" 200 15548
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/tag-it-6ccd2de/css/jquery.tagit.css HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/tag-it-6ccd2de/css/tagit.ui-zendesk.css HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/tables.css HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/classes.css HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/plots.css HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/tagify-master/tagify.css HTTP/1.1" 200 7428
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/Select-1.2.5/js/dataTables.select.min.js HTTP/1.1" 200 11708
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/js/tabs.js HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/DataTables-1.10.16/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/jQuery-3.2.1/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:46 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:47 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/img/molecule.jpg HTTP/1.1" 200 27271
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:47 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/img/two_spectra.png HTTP/1.1" 200 27241
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:47 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/main_mobile_portrait.css HTTP/1.1" 200 10820
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:47 -0400] "GET /adap_compound_db_war/resources/static/favicon-32x32.png HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:47 -0400] "GET /adap_compound_db_war/login/ HTTP/1.1" 200 6565
0:0:0:0:0:0:0:1 - - [29/May/2020:10:36:48 -0400] "GET /adap_compound_db_war/signup HTTP/1.1" 200 7479
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/ HTTP/1.1" 200 9378
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/datatables.min.css HTTP/1.1" 200 18273
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/main.css HTTP/1.1" 200 11067
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/DataTables-1.10.16/css/jquery.dataTables.min.css HTTP/1.1" 200 13900
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.min.css HTTP/1.1" 200 32076
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/Select-1.2.5/css/select.dataTables.min.css HTTP/1.1" 200 3918
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.theme.min.css HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.structure.min.css HTTP/1.1" 200 15548
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/tag-it-6ccd2de/css/jquery.tagit.css HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/tag-it-6ccd2de/css/tagit.ui-zendesk.css HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/tables.css HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/classes.css HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/plots.css HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/tagify-master/tagify.css HTTP/1.1" 200 7428
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/jQuery-3.2.1/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/Select-1.2.5/js/dataTables.select.min.js HTTP/1.1" 200 11708
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/DataTables-1.10.16/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/js/tabs.js HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:56 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:57 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/img/molecule.jpg HTTP/1.1" 200 27271
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:57 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/img/two_spectra.png HTTP/1.1" 200 27241
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:57 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/main_mobile_portrait.css HTTP/1.1" 200 10820
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:57 -0400] "GET /adap_compound_db_war/resources/static/favicon-32x32.png HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:57 -0400] "GET /adap_compound_db_war/login/ HTTP/1.1" 200 6565
0:0:0:0:0:0:0:1 - - [29/May/2020:10:37:58 -0400] "GET /adap_compound_db_war/signup HTTP/1.1" 200 7479
0:0:0:0:0:0:0:1 - - [29/May/2020:10:39:08 -0400] "GET /adap_compound_db_war/ HTTP/1.1" 200 9378
0:0:0:0:0:0:0:1 - - [29/May/2020:10:39:08 -0400] "GET /adap_compound_db_war/resources/datatables.min.css HTTP/1.1" 200 18273
0:0:0:0:0:0:0:1 - - [29/May/2020:10:39:08 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/main.css HTTP/1.1" 200 11067
0:0:0:0:0:0:0:1 - - [29/May/2020:10:39:08 -0400] "GET /adap_compound_db_war/resources/DataTables-1.10.16/css/jquery.dataTables.min.css HTTP/1.1" 200 13900
0:0:0:0:0:0:0:1 - - [29/May/2020:10:39:08 -0400] "GET /adap_compound_db_war/resources/Select-1.2.5/css/select.dataTables.min.css HTTP/1.1" 200 3918
0:0:0:0:0:0:0:1 - - [29/May/2020:10:39:08 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.min.css HTTP/1.1" 200 32076
0:0:0:0:0:0:0:1 - - [29/May/2020:10:39:08 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.theme.min.css HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [29/May/2020:10:39:08 -0400] "GET /adap_compound_db_war/resources/jquery-ui-1.12.1/jquery-ui.structure.min.css HTTP/1.1" 200 15548
0:0:0:0:0:0:0:1 - - [29/May/2020:10:39:08 -0400] "GET /adap_compound_db_war/resources/tag-it-6ccd2de/css/jquery.tagit.css HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [29/May/2020:10:39:08 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/tables.css HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [29/May/2020:10:39:08 -0400] "GET /adap_compound_db_war/resources/tag-it-6ccd2de/css/tagit.ui-zendesk.css HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [29/May/2020:10:39:08 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/plots.css HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [29/May/2020:10:39:08 -0400] "GET /adap_compound_db_war/resources/AdapCompoundDb/css/classes.css HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [29/May/2020:10:39:08 -0400] "GET /adap_compound_db_war/resources/tagify-master/tagify.css HTTP/1.1" 200 7428
